time,flux,object
120.5391194434851,406063.28,1
120.5595537004774,405898.6,1
120.57998785741074,405943.78,1
120.6208564712142,405918.28,1
120.64129062808934,405904.12,1
120.66172488489974,405917.25,1
120.7025933985351,405974.03,1
120.7230276552873,405896.66,1
120.74346201204752,405923.97,1
120.78433042544202,406007.22,1
120.80476468208508,405949.97,1
120.84563319530572,405988.47,1
120.86606745189056,405952.72,1
120.88650180847615,405941.06,1
120.90693596493657,405966.62,1
120.9273702215214,406039.22,1
120.94780457798332,406026.6,1
120.968238734451,405965.6,1
120.98867299080302,405990.12,1
121.0091071472707,406027.84,1
121.0295415036162,405987.25,1
121.04997575996822,406064.2,1
121.07041001632024,405980.12,1
121.09084427254857,406060.7,1
121.11127852890058,405996.56,1
121.1317127851362,405980.47,1
121.15214694124734,405983.56,1
121.1725812974837,406098.28,1
121.19301555360288,405985.53,1
121.21344970971404,406091.97,1
121.233884065834,406069.25,1
121.25431832195318,406063.7,1
121.27475247806431,406114.3,1
121.2951867340671,406042.3,1
121.31562109007064,406043.9,1
121.33605534594972,406041.3,1
121.35648950195171,406069.75,1
121.37692385783885,406040.22,1
121.39735811371791,406087.44,1
121.41779226960352,406092.78,1
121.43822652537348,406122.4,1
121.45866088125332,406112.9,1
121.47909503702247,406066.9,1
121.49952929267602,406141.1,1
121.51996354843868,406108.8,1
121.54039790409296,406167.56,1
121.5608321597465,406147.44,1
121.581266315392,406113.22,1
121.60170067104627,406096.38,1
121.6221349265834,406137.62,1
121.64256908211246,406105.97,1
121.66300333764956,406063.2,1
121.68343769318744,406167.22,1
121.7038718486001,406165.6,1
121.7243061040208,406186.22,1
121.74474045944226,406167.38,1
121.7651746147385,406164.0,1
121.7856088701592,406132.34,1
121.80604312546348,406270.34,1
121.82647738076048,406189.62,1
121.84691163594836,406142.47,1
121.86734589125264,406127.03,1
121.88778014643322,406116.25,1
121.90821440150468,406122.75,1
121.92864865669252,406229.5,1
121.94908281175594,406157.22,1
121.96951716682815,406181.34,1
121.9899514218996,406158.84,1
122.0103855769703,406176.84,1
122.0308199319188,406229.34,1
122.05125418687383,406213.62,1
122.0716884418216,406200.38,1
122.09212259665946,406155.75,1
122.11255695149885,406155.8,1
122.1329912063302,406192.1,1
122.15342536116805,406171.66,1
122.17385971600744,406130.06,1
122.19429397072236,406157.25,1
122.2147281254438,406157.53,1
122.2351623800496,406142.53,1
122.25559673476528,406126.38,1
122.2760308893703,406196.2,1
122.29646514397608,406258.7,1
122.31689949845897,406189.56,1
122.33733365306398,406217.9,1
122.35776790755337,406239.6,1
122.37820216203544,406189.7,1
122.39863651640916,406200.25,1
122.41907067078137,406255.56,1
122.43950492514703,406240.56,1
122.45993927952075,406199.53,1
122.48037343377656,406221.22,1
122.50080768802582,406189.5,1
122.5212418422816,406287.94,1
122.5416761965389,406191.62,1
122.56211045067175,406186.8,1
122.58254470481188,406215.38,1
122.602978958952,406236.62,1
122.62341321308486,406185.78,1
122.64384746710856,406159.06,1
122.66428162113152,406161.38,1
122.68471597514872,406199.03,1
122.70515022905602,406218.9,1
122.80732139834436,406262.62,1
122.82775575201958,406231.66,1
122.84819000581048,406241.78,1
122.86862425947766,406193.16,1
122.88905851315212,406281.62,1
122.90949276671016,406201.06,1
122.92992702037736,406248.0,1
122.95036117393464,406216.7,1
122.97079552737704,406262.34,1
122.99122978092782,406261.56,1
123.0116639343687,406184.72,1
123.0320982878111,406278.16,1
123.05253254112904,406288.47,1
123.07296679457068,406228.66,1
123.09340094789512,406198.03,1
123.11383530109742,406262.66,1
123.13426955442264,406325.2,1
123.15470370763067,406289.44,1
123.17513806083298,406324.5,1
123.19557231392535,406230.7,1
123.216006467017,406325.5,1
123.2364407201094,406357.16,1
123.25687507319526,406274.38,1
123.27730922617047,406303.72,1
123.31817783211592,406252.72,1
123.3386119849747,406293.88,1
123.35904623783426,406313.25,1
123.37948049068656,406335.4,1
123.39991484354688,406304.97,1
123.42034899628196,406290.03,1
123.44078324902512,406297.62,1
123.46121760176902,406328.94,1
123.481651754395,406253.78,1
123.50208600701444,406274.66,1
123.5225201596404,406258.22,1
123.5429545121442,406318.75,1
123.56338876465452,406262.84,1
123.58382301716485,406213.28,1
123.60425726955872,406243.12,1
123.62469152206177,406293.75,1
123.64512577445566,406220.12,1
123.6655599267324,406240.47,1
123.68599427900337,406242.53,1
123.70642853128084,406243.9,1
123.72686268355756,406298.5,1
123.74729703571212,406243.78,1
123.76773128787318,406260.22,1
123.78816544003348,406234.5,1
123.80859969207086,406286.78,1
123.82903404423269,406213.34,1
123.84946819616016,406224.34,1
123.86990244819754,406195.25,1
123.89033680012652,406181.75,1
123.9107710520475,406153.6,1
123.93120520385855,406146.47,1
123.95163945567036,406215.94,1
123.97207380747568,406188.38,1
123.99250795928674,406134.22,1
124.01294221098216,406115.84,1
124.03337656267104,406128.3,1
124.05381071436568,406093.7,1
124.07424496594469,406157.94,1
124.09467921752366,406067.78,1
124.11511346909538,406189.56,1
124.13554772055797,406174.03,1
124.15598197201324,406078.78,1
124.1764163234766,406194.25,1
124.196850474822,406208.94,1
124.21728472616816,406117.44,1
124.2377189773906,406189.22,1
124.25815322873676,406197.06,1
124.27858747995924,406110.9,1
124.299021731189,406128.5,1
124.31945608230308,406036.16,1
124.33989023341564,406175.47,1
124.3603244845217,406119.38,1
124.3807587355186,406056.3,1
124.40119298650824,406115.66,1
124.42162723750516,406125.75,1
124.44206148838566,406132.2,1
124.46249583925965,406020.28,1
124.48292999013938,406078.06,1
124.50336424101988,406063.84,1
124.5237983917832,406071.1,1
124.54423274242436,406042.03,1
